table_name,column_name,datatype,unit,description
des_dr2.mag,magerr_aper_3_g,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_3_i,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_3_r,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_3_y,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_3_z,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_4_g,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_4_i,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_4_r,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_4_y,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_4_z,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_5_g,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_5_i,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_5_r,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_5_y,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_5_z,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_6_g,adql:REAL,mag,"aperture 6 equivalent to 14.81 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_6_i,adql:REAL,mag,"aperture 6 equivalent to 14.81 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_6_r,adql:REAL,mag,"aperture 6 equivalent to 14.81 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_6_y,adql:REAL,mag,"aperture 6 equivalent to 14.81 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_6_z,adql:REAL,mag,"aperture 6 equivalent to 14.81 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_7_g,adql:REAL,mag,"aperture 7 equivalent to 18.52 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_7_i,adql:REAL,mag,"aperture 7 equivalent to 18.52 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_7_r,adql:REAL,mag,"aperture 7 equivalent to 18.52 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_7_y,adql:REAL,mag,"aperture 7 equivalent to 18.52 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_7_z,adql:REAL,mag,"aperture 7 equivalent to 18.52 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_8_g,adql:REAL,mag,"aperture 8 equivalent to 22.22 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_8_i,adql:REAL,mag,"aperture 8 equivalent to 22.22 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_8_r,adql:REAL,mag,"aperture 8 equivalent to 22.22 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_8_y,adql:REAL,mag,"aperture 8 equivalent to 22.22 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_8_z,adql:REAL,mag,"aperture 8 equivalent to 22.22 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_9_g,adql:REAL,mag,"aperture 9 equivalent to 25.93 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_9_i,adql:REAL,mag,"aperture 9 equivalent to 25.93 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_9_r,adql:REAL,mag,"aperture 9 equivalent to 25.93 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_9_y,adql:REAL,mag,"aperture 9 equivalent to 25.93 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
