table_name,column_name,datatype,unit,description
des_dr2.main,errxywin_image_i,adql:DOUBLE,pixel2,"i-band uncertainty in second moment of xy-distribution, from converged windowed measurements [pixel2]"
des_dr2.main,errxywin_image_r,adql:DOUBLE,pixel2,"r-band uncertainty in second moment of xy-distribution, from converged windowed measurements [pixel2]"
des_dr2.main,errxywin_image_y,adql:DOUBLE,pixel2,"y-band uncertainty in second moment of xy-distribution, from converged windowed measurements [pixel2]"
des_dr2.main,errxywin_image_z,adql:DOUBLE,pixel2,"z-band uncertainty in second moment of xy-distribution, from converged windowed measurements [pixel2]"
des_dr2.main,erry2win_image_g,adql:DOUBLE,pixel2,"g-band uncertainty in second moment of y-distribution centroid, from converged windowed measurements [pixel2]"
des_dr2.main,erry2win_image_i,adql:DOUBLE,pixel2,"i-band uncertainty in second moment of y-distribution centroid, from converged windowed measurements [pixel2]"
des_dr2.main,erry2win_image_r,adql:DOUBLE,pixel2,"r-band uncertainty in second moment of y-distribution centroid, from converged windowed measurements [pixel2]"
des_dr2.main,erry2win_image_y,adql:DOUBLE,pixel2,"y-band uncertainty in second moment of y-distribution centroid, from converged windowed measurements [pixel2]"
des_dr2.main,erry2win_image_z,adql:DOUBLE,pixel2,"z-band uncertainty in second moment of y-distribution centroid, from converged windowed measurements [pixel2]"
des_dr2.main,extended_class_coadd,adql:SMALLINT,,0: high confidence stars; 1: candidate stars; 2: mostly galaxies; 3: high confidence galaxies; -9: no data; using sextractor photometry
des_dr2.main,extended_class_wavg,adql:SMALLINT,,0: high confidence stars; 1: candidate stars; 2: mostly galaxies; 3: high confidence galaxies; -9: no data; using wavg photometry
des_dr2.main,flags_g,adql:SMALLINT,,g-band additive flag describing cautionary advice about source extraction process. use less than 4 for well behaved objects
des_dr2.main,flags_i,adql:SMALLINT,,i-band additive flag describing cautionary advice about source extraction process. use less than 4 for well behaved objects
des_dr2.main,flags_r,adql:SMALLINT,,r-band additive flag describing cautionary advice about source extraction process. use less than 4 for well behaved objects
